OrgID,Name,Address Line 1,Address Line 2,Zip Code,Location,Coordinates,Org size,Service size,Target demographic,Services Provided,Available Roles,brief_description,url_link,General Contact,Internal Contact,Consent
1,Le Chic Resto Pop,,,,Mercier—Hochelaga-Maisonneuve,"45.547334933454536, -73.53834488610691",small,small,,,"Cleaning, Cooking, Food preparation","The organization offers, through its socially responsible restaurant, nutritious, quality meals at low prices to meet the needs of people experiencing food insecurity.Â It is also a welcoming living environment, open to all, which promotes social diversity",https://www.myplacedumarche.com/le-chic-resto-pop/,,,
2,Maison de Quartier Villeray,,,,Villeray—Saint-Michel—Parc-Extension,"45.54341110459587, -73.62150291679845",small,small,,,"Gardening/Harvesting, Food preparation, Cooking","Since 1989, It offers activities stimulating mutual aid and solidarity between its participants. Its goal is to support individuals while offering a collective environment that contributes to improving life conditions of citizens.",https://www.myplacedumarche.com/la-maison-de-quartier-villeray/,,,
3,Resto Plateau,,,,Le Plateau-Mont-Royal,"45.52520812693757, -73.58026333028958",medium,medium,,,"Food preparation, Cooking","Non-profit organization with the goal of increasing autonomy, inclusion, and access to resources by providing essential needs such as food security for MontrÃ©al community and its surrounding.",https://www.myplacedumarche.com/resto-plateau/,,,
4,MADA Community Center,,,,Côte-des-Neiges—Notre-Dame-de-Grâce,"45.492745764953916, -73.64827857447263",large,large,,,"Delivering, Food serving, Warehouse",Volunteer-based organization that evolved from a small neighbourhood centre to Montrealâ€™s central address for fighting poverty in our community,https://www.myplacedumarche.com/mada-community-center/,,,
5,Mile End Mission,,,,Rosemont—La Petite-Patrie,"45.526541405705984, -73.60323827261679",medium,medium,,,"Food preparation, Cooking, Packing & Sorting, Warehouse","Volunteer-run, not-for-profit organization and community centre working with members of the community who have been marginalized by society for a variety of reasons.Â ",https://www.myplacedumarche.com/mile-end-community-mission/,,,
6,Sun Youth Organization,,,,Rosemont—La Petite-Patrie,"45.528159838086985, -73.61607213028954",medium,medium,,,"Delivery, Administration, Education, Packing & Sorting","We have been taking care of people for more than 65 years by providing individuals and families in need, a wide range of emergency services that ensure their basic needs are covered and maintain their integrity.",https://www.myplacedumarche.com/sun-youth-organization/,,,
7,Cuisine et Vie Collective St Roch,,,,Villeray—Saint-Michel—Parc-Extension,"45.53169277770556, -73.62866817076166",small,small,,,"Food preparation, Cooking, Food serving",Non-profit organization that aims to give a better life quality and support for people and families of the Parc-Extension neighbourhood.,https://www.myplacedumarche.com/cuisine-et-vie-collective-saint-roch/,,,
8,Partageons L'espoir,,,,Le Sud-Ouest,"45.47829454185036, -73.55941035727234",large,large,,,"Food preparation, Delivery, Packing & Sorting","Our mission is to awaken hopes and dreams in the community through programs that fosters the overall development and success of youth, increases access to food security and health for all and offers work training programs.",https://www.myplacedumarche.com/partageons-lespoir/,,,
9,West Island Mission,,,,Pierrefonds-Roxboro,"45.4738716947892, -73.82375513029099",medium,medium,,,"Packing & Sorting, Warehouse, Delivery, Gardening/Harvesting","West Island Mission is a non-profit organization that provides well-balanced, high quality food assistance and other related aid to the less fortunate living in the West Island of Montreal. We offer three programs: monthly food assistance, Christmas food baskets and back-to-school support.",https://www.myplacedumarche.com/west-island-mission/,,,
10,Centre de Ressource et D'action Communautaire Petite Patrie,,,,Rosemont—La Petite-Patrie,"45.53629773579497, -73.61157208610719",medium,large,,,Professional/Skills development,"Non-profit organization that fight against poverty. Through activities in food security and and against waste, it improves life conditions of its members and defend their fundamental rights.",https://www.myplacedumarche.com/centre-de-ressources-et-daction-communautaire-de-la-petite-patrie/,,,
